Time,Surge,Sway,YawRate,LeftPWM,RightPWM,DiffPWM,CrossTrackError,CrossTrackErrorNoNoise,HeadingError,Heading,ColAvDesiredHeading,LOSDesiredHeading,ShortestObjectDist
0,-0.24,0.0,0.0,1100.0,1100.0,-6.669302840023037,0.0,0.0,0.0,1.0471975511965976,0.9971777798964249,0.4636476090008061,inf
1,-0.4608,0.0,0.0,1100.0,1100.0,-17.890112355079328,-0.013223756915796104,-0.013223756915796104,0.0,1.0471975511965976,0.9463682227336179,0.4649699839215837,inf
2,-0.5352802903703703,0.0,-0.010739657666890107,1298.3166962157143,1330.5356692163846,-32.21897300067032,-0.03861337019412461,-0.03861337019412461,0.0,1.0461235854299087,0.8950058154669669,0.4675152080203741,inf
3,-0.48692239437940954,-0.0006387474527123679,-0.030128711009930947,1476.5623220320272,1525.1335523034459,-48.57123027141892,-0.06810677203443516,-0.06810677203443516,0.0,1.0431107143289156,0.8429342233976184,0.47048248834163703,inf
4,-0.3291024446220243,-0.0021765221656006766,-0.05978615197188358,1586.1366197739526,1651.5922326053783,-65.45561283142548,-0.09494538952630202,-0.09494538952630202,0.0,1.0371320991317272,0.795049769450319,0.4731973015022409,inf
5,-0.11653866772431076,-0.004048332160401773,-0.09243446368411334,1644.8592824374057,1727.5884575592042,-82.72917512179836,-0.11314833088348142,-0.11314833088348142,0.0,1.027888652763316,0.7439413498753669,0.4750597173664377,inf
6,0.11168137674650841,-0.00466048298718349,-0.1271850784698771,1669.0851002805628,1768.6414448510147,-99.55634457045177,-0.11981134655755235,-0.11981134655755235,0.0,1.0151701449163282,0.6948619440939195,0.4757747767619033,inf
7,0.3316382631292958,-0.0024090571484649214,-0.16314778568563704,1671.0519470223935,1786.6241521216248,-115.57220509923124,-0.11423271792253714,-0.11423271792253714,0.0,0.9988553663477645,0.6461603295243528,0.47526656456580024,inf
8,0.530019463805591,0.003950700914999486,-0.19952024605338733,1659.5387485322767,1790.2150290999157,-130.67628056763883,-0.09706056901048551,-0.09706056901048551,0.0,0.9789033417424258,0.5966442875866295,0.4735939947510359,inf
9,0.7006615392253872,0.015130001208563554,-0.23443982696429802,1641.7131042480703,1784.5160448677727,-142.8029406197026,-0.06968870472202408,-0.06968870472202408,0.0,0.955459359045996,0.5612626899328502,0.47089108057705464,inf
10,0.8420048345496399,0.031195997702497542,-0.26600474995937023,1622.065692113894,1773.3652182864282,-151.29952617253392,-0.03384652684086498,-0.03384652684086498,0.0,0.928858884050059,0.5347276158505045,0.467326338625143,inf
11,0.955282771657364,0.05157627419868766,-0.29272849173820403,1603.2572791039067,1759.5130596818292,-156.25578057792245,0.008664796359758616,0.008664796359758616,0.0,0.8995860348762386,0.5134381605783102,0.4630765953855358,inf
12,1.0432787240233268,0.07519731069562738,-0.31369334901577756,1586.7209793748282,1744.8337809142943,-158.1128015394659,0.056129402712972475,0.056129402712972475,0.0,0.8682166999746608,0.49501892621985666,0.4583112962652234,inf
13,1.1095013348389557,0.10069876547245726,-0.3281548040958869,1573.438871544442,1730.1769472517844,-156.73807570734226,0.10699946216575848,0.10699946216575848,0.0,0.8354012195650721,0.4832451398669233,0.453184131235398,inf
14,1.1576585237116757,0.12660763192401372,-0.33618001847208956,1563.3134919408672,1716.4691604369418,-153.15566849607484,0.1599289069606324,0.1599289069606324,0.0,0.8017832177178631,0.4704240843812221,0.44782949523347243,inf
